ESCOBAR 1 -Entrada;164;03:30:00;04:30:00;Produccion;Mañana;i
Jose C. Paz - entrada;11531;04:00:00;04:30:00;Produccion;Mañana;i
OPEN DOOR - ENTRADA;11575;04:00:00;04:30:00;Produccion;Mañana;i
Rec. Sabados Pilar;3585;03:30:00;04:30:00;Produccion;Mañana;i
Ref. Escobar 1 ;5340;04:00:00;04:30:00;Produccion;Mañana;i
ESCOBAR 2 (Matheu) - Entrada;5166;04:05:00;04:35:00;Produccion;Mañana;i
CAMPANA 1 - Entrada;144;04:05:00;04:35:00;Produccion;Mañana;i
ESCOBAR 2 (Matheu) - Entrada;3213;03:35:00;04:35:00;Produccion;Mañana;i
BENAVIDEZ - ENTRADA;11556;04:30:00;04:35:00;Produccion;Mañana;i
ESCOBAR 2 (Matheu) - Entrada;1072;04:05:00;04:35:00;Produccion;Mañana;i
DEL VISO - Entrada;4301;04:35:00;04:40:00;Produccion;Mañana;i
DEL VISO-ENT;160;04:10:00;04:40:00;Produccion;Mañana;i
Ref. 202 Entrada;8832;04:35:00;04:40:00;Produccion;Mañana;i
Refuerzo Panamericana y 202;7330;04:00:00;04:40:00;Produccion;Mañana;i
Rec. Sabados Escobar;3147;03:15:00;04:45:00;Produccion;Mañana;i
BS AS 2 - RUTA 197 - Entrada;4183;04:35:00;04:45:00;Produccion;Mañana;i
RUTA 197 - ZTE;1408;03:00:00;04:45:00;Produccion;Mañana;i
NUEVO Rec. Sabados Escobar;5098;03:45:00;04:45:00;Produccion;Mañana;i
Rec. Sabados Campana;3400;04:15:00;04:45:00;Produccion;Mañana;i
Rec. Sabados 197;3586;03:00:00;04:45:00;Produccion;Mañana;i
PILAR-ENT;188;03:15:00;04:45:00;Produccion;Mañana;i
Adic. Adm. Campana 2 - Salida;11060;04:50:00;04:50:00;Produccion;Mañana;i
Rec. Sabados Campana;3138;04:20:00;04:50:00;Produccion;Mañana;i
BACK-UP CAMPANA;753;04:40:00;04:50:00;Produccion;Mañana;i
Nuevo Rec. Sab. Campana 2009;4988;04:20:00;04:50:00;Produccion;Mañana;i
Rec. Sabado HENRY FORD  ;7467;04:00:00;04:52:00;Produccion;Mañana;i
Garin - Entrada;11520;04:42:00;04:52:00;Produccion;Mañana;i
BS AS 3 - HENRY FORD - Entrada;4179;04:42:00;04:52:00;Produccion;Mañana;i
HENRY FORD;1385;04:00:00;04:52:00;Produccion;Mañana;i
Refuerzo Rec Sabados BS AS;6331;03:50:00;04:52:00;Produccion;Mañana;i
ZTE 4-ENT;218;04:30:00;04:55:00;Produccion;Mañana;i
ZTEREF-ENT;203;04:25:00;04:55:00;Produccion;Mañana;i
ALSINA - Entrada;1106;04:50:00;05:00:00;Produccion;Mañana;i
Nuevo Rec. Sabado Zarate 2009;4985;04:40:00;05:00:00;Produccion;Mañana;i
Rec. Sabado Zarate;3144;04:30:00;05:00:00;Produccion;Mañana;i
CAMPANA 2 - Entrada;148;04:30:00;05:00:00;Produccion;Mañana;i
Adic. Adm. Campana I - Salida;11057;05:00:00;05:00:00;Produccion;Mañana;i
Ref. Escobar 1 - Entrada;8779;04:30:00;05:00:00;Produccion;Mañana;i
CARDALES - ENTRADA;11562;04:50:00;05:00:00;Produccion;Mañana;i
ZTE 3-ENT;225;04:40:00;05:05:00;Produccion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;153;04:35:00;05:05:00;Produccion;Mañana;i
Rec. Sabados Campana;3139;04:35:00;05:05:00;Produccion;Mañana;i
Ent. Ref.Larrea;1509;05:00:00;05:05:00;Produccion;Mañana;i
ZTE 1-ENT;234;04:35:00;05:05:00;Produccion;Mañana;i
Ent. Ref. Carriego;1511;05:00:00;05:10:00;Produccion;Mañana;i
LIMA - Entrada;4274;05:00:00;05:10:00;Produccion;Mañana;i
ZARATE (Ref.Z6-R. Noya)Entrada;8449;04:40:00;05:10:00;Produccion;Mañana;i
ZARATE 1-(P. Ind.)-Entrada;3028;04:40:00;05:10:00;Produccion;Mañana;i
BACK-UP  ZTE;1693;05:00:00;05:10:00;Produccion;Mañana;i
ZTEREF-ENT;205;04:40:00;05:10:00;Produccion;Mañana;i
ZARATE 4-(Lavalle)-Entrada;3040;04:40:00;05:10:00;Produccion;Mañana;i
ZTE 2-ENT;229;04:40:00;05:10:00;Produccion;Mañana;i
CAMPANA 2 (Ref.) - Entrada;3417;04:40:00;05:10:00;Produccion;Mañana;i
Rec. Sabado Lima;3143;04:40:00;05:10:00;Produccion;Mañana;i
ZARATE 6-(R. Noya)-Entrada;8434;04:40:00;05:10:00;Produccion;Mañana;i
ZARATE (Ref. Z4-Lav)-Entrada;4530;04:30:00;05:10:00;Produccion;Mañana;i
LIMAZTE;174;04:40:00;05:10:00;Produccion;Mañana;i
ZARATE 5-(Pellegrini)-Entrada;3044;04:40:00;05:10:00;Produccion;Mañana;i
NUEVORec. Sabado Lima;7283;04:40:00;05:10:00;Produccion;Mañana;i
ZARATE 6-(R. Noya)-Entrada;3048;04:50:00;05:15:00;Produccion;Mañana;i
Rec. Sabado Zarate;3145;04:45:00;05:15:00;Produccion;Mañana;i
ZARATE 2-(Galesio)-Entrada;3032;04:45:00;05:15:00;Produccion;Mañana;i
Refuerzo Rec Sabados Campana;6332;04:45:00;05:15:00;Produccion;Mañana;i
ZARATE 6-(R. Noya) Entrada;3246;04:45:00;05:15:00;Produccion;Mañana;i
CAMPANA 2 (Ref.) - Entrada;2770;04:45:00;05:15:00;Produccion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;154;04:35:00;05:15:00;Produccion;Mañana;i
Refuerzo Rec Sabados Zarate;6333;04:45:00;05:18:00;Produccion;Mañana;i
ZARATE 3-(S. Lorenzo)-Entrada;3036;04:50:00;05:20:00;Produccion;Mañana;i
ZARATE 2-(Los Ceibos)-Entrada;8430;04:50:00;05:20:00;Produccion;Mañana;i
Z7 - Carriego - Ent.;3052;04:50:00;05:20:00;Produccion;Mañana;i
ZTEREF-ENT;204;04:50:00;05:20:00;Produccion;Mañana;i
ZARATE (Ref. Z3 S. L)-Entrada;3096;04:50:00;05:20:00;Produccion;Mañana;i
Ent. Ref. Galesio;1513;05:10:00;05:20:00;Produccion;Mañana;i
ZTEREF-ENT;206;05:00:00;05:25:00;Produccion;Mañana;i
